id,name,phone_number,address,type,description,logo_photos,cuisines
1,Roma's Pizzeria,474-711-3654,435 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url26"", ""url1""]","[""Italian"", ""American""]"
2,Aegean Breeze,517-804-2622,126 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url58""]","[""Mediterranean""]"
3,Casa de Tacos,288-130-3814,275 Main St,take-out,A lively Mexican joint with flavorful tacos and margaritas.,"[""url46""]","[""Mexican""]"
4,Golden Dragon,337-699-6023,305 Main St,take-out,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url40""]","[""Chinese""]"
5,Taj Curry House,288-822-1067,51 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url12""]","[""Indian""]"
6,Wasabi Wave,394-672-8335,134 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url69""]","[""Japanese""]"
7,Chili Thai,578-848-3870,41 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url7""]","[""Thai""]"
8,Le Petit Café,439-626-1132,354 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url98""]","[""French""]"
9,Eagle's Diner,437-434-8528,151 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url15""]","[""American""]"
10,Athena's Olive,872-837-2060,271 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url60""]","[""Greek""]"
11,Lotus Leaf,450-180-7081,435 Main St,dine-in,A flavorful Vietnamese spot with pho and spring rolls.,"[""url50""]","[""Vietnamese""]"
12,Paella Paradise,149-725-9263,33 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url75""]","[""Spanish""]"
13,Pasta Fresca,583-282-9216,362 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url94""]","[""Italian""]"
14,Seafood Harbor,560-443-6516,62 Main St,take-out,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url27""]","[""Mediterranean""]"
15,Margarita's,143-573-1355,99 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url41""]","[""Mexican""]"
16,Bamboo Garden,925-415-5151,168 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url38""]","[""Chinese""]"
17,Saffron Lounge,167-243-4644,437 Main St,dine-in,An aromatic Indian bistro with curries and tandoori dishes.,"[""url76""]","[""Indian""]"
18,Zen Ramen,515-845-5268,33 Main St,take-out,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url53""]","[""Japanese""]"
19,Lemongrass Lane,740-464-9699,231 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url52""]","[""Thai""]"
20,Boulangerie Bliss,410-555-7868,389 Main St,dine-in,A sophisticated French café with pastries and fine dining.,"[""url13""]","[""French""]"
21,Route 66 Grill,118-689-9855,398 Main St,take-out,A classic American diner with burgers and milkshakes.,"[""url14""]","[""American""]"
22,Athena's Olive,553-712-6538,414 Main St,dine-in,A festive Greek taverna with moussaka and gyro platters.,"[""url33""]","[""Greek""]"
23,Hanoi House,913-247-1454,241 Main St,take-out,A flavorful Vietnamese spot with pho and spring rolls.,"[""url12""]","[""Vietnamese""]"
24,Tapas Temptation,366-616-5027,58 Main St,dine-in,A lively Spanish tapas bar with sangria and paella.,"[""url30""]","[""Spanish""]"
25,Pasta Fresca,705-753-4427,221 Main St,dine-in,A cozy Italian restaurant offering authentic pasta and pizzas.,"[""url25""]","[""Italian""]"
26,Santorini Grill,394-341-7178,28 Main St,dine-in,A vibrant Mediterranean eatery with fresh seafood and salads.,"[""url45""]","[""Mediterranean""]"
27,Casa de Tacos,157-535-7207,243 Main St,dine-in,A lively Mexican joint with flavorful tacos and margaritas.,"[""url3""]","[""Mexican""]"
28,Wok & Roll,468-789-1090,255 Main St,dine-in,A traditional Chinese restaurant with dim sum and stir-fries.,"[""url79""]","[""Chinese""]"
29,Taj Curry House,246-110-3291,390 Main St,take-out,An aromatic Indian bistro with curries and tandoori dishes.,"[""url61""]","[""Indian""]"
30,Sakura Sushi,130-184-4603,466 Main St,dine-in,A modern Japanese sushi bar with fresh sashimi and ramen.,"[""url73""]","[""Japanese""]"
31,Chili Thai,366-203-7413,372 Main St,take-out,A spicy Thai eatery with colorful curries and noodle dishes.,"[""url95""]","[""Thai""]"
32,Chateau de Vin,836-755-1994,402 Main St,take-out,A sophisticated French café with pastries and fine dining.,"[""url92""]","[""French""]"
33,Star Spangled Burgers,944-944-1379,108 Main St,dine-in,A classic American diner with burgers and milkshakes.,"[""url41""]","[""American""]"
34,Zeus's Table,430-739-2926,180 Main St,take-out,A festive Greek taverna with moussaka and gyro platters.,"[""url85""]","[""Greek""]"
